datum,transaction,instrument,holder,location,measure,value,edate,year,month,day
"2015-03","BT","D","IZ","IA","BTF",234.21431,20148,2015,3,1
"2015-03","BT","D","AZ","II","TT",122,20148,2015,3,1
"2015-03","BT","D","AZ","II","BMF",25.6,20148,2015,3,1
"2015-03","BT","D","AZ","II","BTF",209.83607,20148,2015,3,1
"2015-03","BT","EG","IZ","II","TT",39.3,20148,2015,3,1
"2015-03","BT","EG","IZ","II","BMF",10.1,20148,2015,3,1
"2015-03","BT","EG","IZ","II","BTF",256.99746,20148,2015,3,1
"2015-03","BT","EG","IZ","IA","TT",154.6,20148,2015,3,1
"2015-03","BT","EG","IZ","IA","BMF",64.6,20148,2015,3,1
"2015-03","BT","EG","IZ","IA","BTF",417.85252,20148,2015,3,1
"2015-03","BE","D","IZ","II","TT",,20148,2015,3,1
"2015-03","BE","D","IZ","II","BMF",,20148,2015,3,1
"2015-04","ZT","K","IZ","II","TT",13531.7,20179,2015,4,1
"2015-04","ZT","K","IZ","II","BMF",1466.6,20179,2015,4,1
"2015-04","ZT","K","IZ","II","BTF",108.38254,20179,2015,4,1
"2015-04","ZT","K","IZ","IA","TT",10425.8,20179,2015,4,1
"2015-04","ZT","K","IZ","IA","BMF",1404.3,20179,2015,4,1
"2015-04","ZT","K","IZ","IA","BTF",134.6947,20179,2015,4,1
"2015-04","ZT","K","AZ","II","TT",2974.7,20179,2015,4,1
"2015-04","ZT","K","AZ","II","BMF",569,20179,2015,4,1
"2015-04","ZT","K","AZ","II","BTF",191.27979,20179,2015,4,1
"2015-04","ZT","D","IZ","II","TT",51075.9,20179,2015,4,1
"2015-04","ZT","D","IZ","II","BMF",3361.7,20179,2015,4,1
"2015-04","ZT","D","IZ","II","BTF",65.817734,20179,2015,4,1
"2015-04","ZT","D","IZ","IA","TT",2405.8,20179,2015,4,1
"2015-04","ZT","D","IZ","IA","BMF",230.6,20179,2015,4,1
"2015-04","ZT","D","IZ","IA","BTF",95.851692,20179,2015,4,1
"2015-04","ZT","D","AZ","II","TT",649.3,20179,2015,4,1
"2015-04","ZT","D","AZ","II","BMF",48,20179,2015,4,1
"2015-04","ZT","D","AZ","II","BTF",73.925766,20179,2015,4,1
"2015-04","ZT","EG","IZ","II","TT",512.5,20179,2015,4,1
"2015-04","ZT","EG","IZ","II","BMF",32.1,20179,2015,4,1
"2015-04","ZT","EG","IZ","II","BTF",62.634146,20179,2015,4,1
"2015-04","ZT","EG","IZ","IA","TT",1206.8,20179,2015,4,1
"2015-04","ZT","EG","IZ","IA","BMF",84.3,20179,2015,4,1
"2015-04","ZT","EG","IZ","IA","BTF",69.85416,20179,2015,4,1
"2015-04","PGT","K","IZ","II","TT",10902.9,20179,2015,4,1
"2015-04","PGT","K","IZ","II","BMF",1106.6,20179,2015,4,1
"2015-04","PGT","K","IZ","II","BTF",101.49593,20179,2015,4,1
"2015-04","PGT","K","IZ","IA","TT",5148,20179,2015,4,1
"2015-04","PGT","K","IZ","IA","BMF",753.7,20179,2015,4,1
"2015-04","PGT","K","IZ","IA","BTF",146.40637,20179,2015,4,1
"2015-04","PGT","K","AZ","II","TT",2665,20179,2015,4,1
"2015-04","PGT","K","AZ","II","BMF",473.7,20179,2015,4,1
"2015-04","PGT","K","AZ","II","BTF",177.74859,20179,2015,4,1
"2015-04","PGT","D","IZ","II","TT",50710,20179,2015,4,1
"2015-04","PGT","D","IZ","II","BMF",3336,20179,2015,4,1
"2015-04","PGT","D","IZ","II","BTF",65.785841,20179,2015,4,1
"2015-04","PGT","D","IZ","IA","TT",2402.6,20179,2015,4,1
"2015-04","PGT","D","IZ","IA","BMF",230.3,20179,2015,4,1
"2015-04","PGT","D","IZ","IA","BTF",95.854491,20179,2015,4,1
"2015-04","PGT","D","AZ","II","TT",638.1,20179,2015,4,1
"2015-04","PGT","D","AZ","II","BMF",45.5,20179,2015,4,1
