"Date","Region","Canton","Amount CHF","Number of transactions"
"2019-01-17","Eastern","GL",370837.96,6444
"2019-01-17","Eastern","GR",4334858.55,53759
"2019-01-17","Eastern","SG",6363831.4,105668
"2019-01-17","Eastern","SH",859024.99,16844
"2019-01-17","Eastern","TG",2489298.59,43767
"2019-01-17","Espace Mittelland","BE",13726156.44,248123
"2019-01-17","Espace Mittelland","FR",3305270.32,58026
"2019-01-17","Espace Mittelland","JU",693248.55,11913
"2019-01-17","Espace Mittelland","NE",2301229.86,42315
"2019-01-17","Espace Mittelland","SO",2586981.14,48496
"2019-01-17","Lake Geneva","GE",11957504.78,211196
"2019-01-17","Lake Geneva","VD",12284405.46,226600
"2019-01-17","Lake Geneva","VS",5764805.42,81036
"2019-01-17","Northwestern","AG",7396095.94,135403
"2019-01-17","Northwestern","BL",2767409.76,52189
"2019-01-17","Northwestern","BS",3211211.9,75218
"2019-01-17","Ticino","TI",4365652.36,66111
"2019-01-17","Zurich","ZH",25540240.07,581242
"2019-01-18","9999","9999",39270.11,1247
"2019-01-18","Central","LU",8325503.45,121797
"2019-01-18","Central","NW",784228.63,10252
"2019-01-18","Central","OW",636467.57,9103
"2019-01-18","Central","SZ",2627179.62,37503
"2019-01-18","Central","UR",549071.43,7207
"2019-01-18","Central","ZG",3068187.32,51309
"2019-01-18","Eastern","AI",169561.84,1934
"2019-01-18","Eastern","AR",425426.49,5824
"2019-01-18","Eastern","GL",508855.11,7993
"2019-01-18","Eastern","GR",6278327.76,70416
"2019-01-18","Eastern","SG",7986372.15,122994
"2019-01-18","Eastern","SH",1020319.42,18986
"2019-01-18","Eastern","TG",3162277.12,51218
"2019-01-18","Espace Mittelland","BE",17623393.89,291094
"2019-01-18","Espace Mittelland","FR",4557592.44,71921
"2019-01-18","Espace Mittelland","JU",866921.09,14012
"2019-01-18","Espace Mittelland","NE",2891910.04,48667
"2019-01-18","Espace Mittelland","SO",3087381.48,53652
"2019-01-18","Lake Geneva","GE",13710353.76,223870
"2019-01-18","Lake Geneva","VD",16569582.76,276610
"2019-01-18","Lake Geneva","VS",8307185.29,107396
"2019-01-18","Northwestern","AG",9484300.87,158639
"2019-01-18","Northwestern","BL",3669714.94,60848
"2019-01-18","Northwestern","BS",3880258.8,83313
"2019-01-18","Ticino","TI",4727956.41,70587
"2019-01-18","Zurich","ZH",33487528.19,650954
"2019-01-19","9999","9999",39762.95,968
"2019-01-19","Central","LU",9654179.34000001,126478
"2019-01-19","Central","NW",989602.33,12677
"2019-01-19","Central","OW",994488.03,14061
"2019-01-19","Central","SZ",3650641.32,48964
"2019-01-19","Central","UR",643993.08,7829
"2019-01-19","Central","ZG",3245660.64,45430
"2019-01-19","Eastern","AI",227361.3,2557
"2019-01-19","Eastern","AR",489033.79,6523
"2019-01-19","Eastern","GL",686153.61,10683
"2019-01-19","Eastern","GR",8851545.18999999,97689
"2019-01-19","Eastern","SG",10240894.03,138761
"2019-01-19","Eastern","SH",1306357.92,21727
"2019-01-19","Eastern","TG",4204870.33,60347
"2019-01-19","Espace Mittelland","BE",20371067.64,301399
"2019-01-19","Espace Mittelland","FR",4869196.38,73242
"2019-01-19","Espace Mittelland","JU",1064773.86,14989
"2019-01-19","Espace Mittelland","NE",3608954.15,53705
"2019-01-19","Espace Mittelland","SO",4049293.33,62506
"2019-01-19","Lake Geneva","GE",14694581.55,203281
"2019-01-19","Lake Geneva","VD",20512779.42,295861
"2019-01-19","Lake Geneva","VS",10669291.68,129500
"2019-01-19","Northwestern","AG",13314314.21,189011
"2019-01-19","Northwestern","BL",4702876.17,66179
"2019-01-19","Northwestern","BS",4912077.17,82986
"2019-01-19","Ticino","TI",6117785.86,79316
"2019-01-19","Zurich","ZH",40303088.95,630159
"2019-01-20","9999","9999",26502.58,735
"2019-01-20","Central","LU",1723772.59,34922
"2019-01-20","Central","NW",278137.35,3297
"2019-01-20","Central","OW",610490.39,6460
"2019-01-20","Central","SZ",964037.94,14903
"2019-01-20","Central","UR",322427.99,3249
"2019-01-20","Central","ZG",441046.44,9980
"2019-01-20","Eastern","AI",51244.34,700
"2019-01-20","Eastern","AR",145061.27,1778
"2019-01-20","Eastern","GL",188775.95,4075
"2019-01-20","Eastern","GR",5481046.07999999,52887
"2019-01-20","Eastern","SG",1696521.38,33161
"2019-01-20","Eastern","SH",227504.84,5648
"2019-01-20","Eastern","TG",536128.77,11028
"2019-01-20","Espace Mittelland","BE",5458639.18000001,86741
"2019-01-20","Espace Mittelland","FR",1092533.18,23107
"2019-01-20","Espace Mittelland","JU",166804.22,3310
"2019-01-20","Espace Mittelland","NE",489591.49,10971
"2019-01-20","Espace Mittelland","SO",546459.25,13334
"2019-01-20","Lake Geneva","GE",3212691.03,68212
"2019-01-20","Lake Geneva","VD",3494462.46,74738
"2019-01-20","Lake Geneva","VS",4761551.22,57294
"2019-01-20","Northwestern","AG",1818066.78,42152
"2019-01-20","Northwestern","BL",632122.61,15564
"2019-01-20","Northwestern","BS",868514.05,24468
"2019-01-20","Ticino","TI",2090975.64,29621
"2019-01-20","Zurich","ZH",7589202.90000001,192276
"2019-01-21","9999","9999",36007.34,1192
"2019-01-21","Central","LU",5439111.08,93741
