"Date","Payment method","Merchant category","Amount CHF","Number of transactions"
"2019-01-20","Credit","Food and beverage services",4428659.35999999,80838
"2019-01-20","Credit","Other",2198565.37,22754
"2019-01-20","Credit","Professional services",1916114.67,16590
"2019-01-20","Credit","Retail: Food, beverage, tobacco",1564570.61000001,57937
"2019-01-20","Credit","Retail: Fuel stations",2745790.75999999,57684
"2019-01-20","Credit","Retail: Other goods",7093176.21000003,47338
"2019-01-20","Credit","Transport services",3720156.28,108096
"2019-01-20","Debit","Accommodation",2407467.72,15312
"2019-01-20","Debit","Food and beverage services",4778441.27,122166
"2019-01-20","Debit","Other",1633862.43,26106
"2019-01-20","Debit","Professional services",268087.25,3833
"2019-01-20","Debit","Retail: Food, beverage, tobacco",3001923.01,138920
"2019-01-20","Debit","Retail: Fuel stations",7074071.06,170763
"2019-01-20","Debit","Retail: Other goods",2143924.93,32203
"2019-01-20","Debit","Transport services",1690603.48,36099
"2019-01-20","Mobile","Accommodation",6183.48,66
"2019-01-20","Mobile","Food and beverage services",25754.35,667
"2019-01-20","Mobile","Other",19281.19,313
"2019-01-20","Mobile","Professional services",26792.65,247
"2019-01-20","Mobile","Retail: Food, beverage, tobacco",15576.29,584
