"CubeId";"plkoprex"
"PublishingDate";"2023-07-21 09:00"

"Date";"D0";"Value"
"1987-02";"T2";"70.1727"
"1987-02";"IE";"55.839"
"1987-02";"T3";"69.6867"
"1987-02";"IT";"31.7931"
"1987-02";"T4";"69.3946"
"1987-02";"IAG";"64.0892"
"1987-02";"T5";
"1987-02";"IBS";
"1987-02";"T6";
"1987-02";"IAP";
"1987-02";"K1";
"1987-02";"FP";
"1987-02";"ET";
"1987-02";"K2";
"1987-02";"T7";"69.2694"
"1987-03";"T0";"0"
"1987-03";"IG";"0"
"1987-03";"T1";"74.6522"
"1987-03";"IW";"50.9585"
"1987-03";"T2";"70.3372"
"1987-03";"IE";"54.5139"
"1987-03";"T3";"69.7845"
"1987-03";"IT";"31.7931"
"1987-03";"T4";"69.4943"
"1987-03";"IAG";"64.0892"
"1987-03";"T5";
"1987-03";"IBS";
"1987-03";"T6";
"1987-03";"IAP";
"1987-03";"K1";
"1987-03";"FP";
"1987-03";"ET";
"1987-03";"K2";
"1987-03";"T7";"69.3662"
"1987-04";"T0";"0"
"1987-04";"IG";"0"
"1987-04";"T1";"74.7667"
"1987-04";"IW";"50.9585"
"1987-04";"T2";"70.393"
"1987-04";"IE";"55.2571"
"1987-04";"T3";"69.8722"
"1987-04";"IT";"31.7931"
"1987-04";"T4";"69.5836"
"1987-04";"IAG";"64.0892"
"1987-04";"T5";
"1987-04";"IBS";
"1987-04";"T6";
"1987-04";"IAP";
"1987-04";"K1";
"1987-04";"FP";
"1987-04";"ET";
"1987-04";"K2";
"1987-04";"T7";"69.4528"
